 Opened files,timestep=        5000
 Opened files,timestep=        5100
 Opened files,timestep=        5200
 Opened files,timestep=        5300
 Opened files,timestep=        5400
 Opened files,timestep=        5500
 Opened files,timestep=        5600
 Opened files,timestep=        5700
 Opened files,timestep=        5800
 Opened files,timestep=        5900
 Opened files,timestep=        6000
 Opened files,timestep=        6100
 Opened files,timestep=        6200
 Opened files,timestep=        6300
 Opened files,timestep=        6400
 Opened files,timestep=        6500
